"","Batch","Test","ID","Reach","Site","Bank","Distance","Peak.Area","N ug","d15N","d15NH4.Blank","d15NH4.Corr","diff.NH4.d15N"
"94",1,"NH4","MID3 RL3","Mid",3,"Left",3,205.725,67.7378,38.5421,40.2852176182771,41.1894739992287,-2.64737399922866
"95",1,"NH4","MID1 RL3","Mid",1,"Left",3,36.562,14.1256,7.5784,8.57964803949331,9.48390442044482,-1.90550442044482
"96",1,"NH4","MID1 RL1","Mid",1,"Left",1,73.513,25.8363,6.7456,7.18482235717447,8.08907873812598,-1.34347873812598
"101",2,"NH4","MID1 RL10","Mid",1,"Left",10,88.4023,29.659,6.4848,6.34323339724498,6.94864982798004,-0.463849827980043
"102",2,"NH4","MID2 RL20","Mid",2,"Left",20,49.6063,17.3927,8.1566,8.0586402078011,8.66405663853616,-0.507456638536164
"103",2,"NH4","MID1 RL20","Mid",1,"Left",20,23.6023,9.1709,6.197,5.69233557254165,6.29775200327671,-0.100752003276714
"104",2,"NH4","MID3 RL10","Mid",3,"Left",10,44.3263,15.7233,11.2541,11.4397366330365,12.0451530637715,-0.791053063771527
"105",2,"NH4","MID3 RL6","Mid",3,"Left",6,29.43,9.2687,12.7026,13.2507365875353,13.8561530182704,-1.15355301827041
"106",2,"NH4","MID2 RL1","Mid",2,"Left",1,43.944,14.0259,10.8406,11.004705465999,11.6101218967341,-0.769521896734076
"113",3,"NH4","MID2 RL10","Mid",2,"Left",10,51.98,16.8276,5.234,6.59801324477512,5.97558878677108,-0.741588786771083
"114",3,"NH4","MID1 RL6","Mid",1,"Left",6,957.073,308.7496,40.2978,41.4425877508001,40.8201632927961,-0.522363292796108
"115",3,"NH4","MID2 RL6","Mid",2,"Left",6,66.187,21.4098,11.2839,15.0194514785026,14.3970270204985,-3.11312702049854
"116",3,"NH4","MID3 RL20","Mid",3,"Left",20,69.214,22.5922,2.267,2.04511440575853,1.42268994775449,0.84431005224551
"117",3,"NH4","MID3 RL10","Mid",3,"Left",10,61.757,20.1722,4.9525,5.95882276653568,5.33639830853165,-0.383898308531648
"123",1,"NH4","UP3 RL10","Up",3,"Left",10,41.185,15.5907,8.9925,10.204103727222,11.1083601081735,-2.11586010817351
"124",1,"NH4","UP1 RL10","Up",1,"Left",10,34.778,13.5602,7.3223,8.30190299872667,9.20615937967818,-1.88385937967818
"127",2,"NH4","UP3 RL1","Up",3,"Left",1,27.4313,10.3815,11.0141,11.2607553457807,11.8661717765158,-0.852071776515753
"128",2,"NH4","UP1 RL3","Up",1,"Left",3,41.307,13.1616,10.8927,11.0734895057507,11.6789059364858,-0.7862059364858
"129",2,"NH4","UP1 RL1","Up",1,"Left",1,25.83,8.0888,8.5208,8.37735902757173,8.9827754583068,-0.461975458306798
"130",2,"NH4","UP2 RL10","Up",2,"Left",10,350.811,114.6063,11.3461,11.3727662321841,11.9781826629191,-0.632082662919119
"135",3,"NH4","UP3 RL6","Up",3,"Left",6,80.422,26.001,12.9288,16.6010314197317,15.9786069617277,-3.04980696172769
"136",3,"NH4","UP3 RL20","Up",3,"Left",20,68.227,22.2719,5.672,6.88794975182978,6.26552529382575,-0.593525293825748
"137",3,"NH4","UP2 RL1","Up",2,"Left",1,NA,NA,NA,NA,NA,NA
"138",3,"NH4","UP2 RL20","Up",2,"Left",20,77.849,25.3945,9.2333,11.6215784846237,10.9991540266197,-1.76585402661971
"139",3,"NH4","UP2 RL6","Up",2,"Left",6,45.414,14.8685,7.7139,10.8297341490026,10.2073096909985,-2.49340969099852
"140",3,"NH4","UP1 RL6","Up",1,"Left",6,87.216,28.4343,7.404,8.93056354981288,8.30813909180885,-0.904139091808847
"141",3,"NH4","UP3 RL3","Up",3,"Left",3,92.059,30.006,20.8543,26.525992671836,25.903568213832,-5.04926821383197
"149",4,"NH4","UP1 RL20","Up",1,"Left",20,26.5373,8.6065,2.9946,2.3136844962141,2.7601919210523,0.234408078947704
"150",4,"NH4","UP3 RL3","Up",3,"Left",3,652.9653,188.9118,74.3586,75.2647723424194,75.7112797672576,-1.3526797672576
"153",1,"NH4","LOW1 RR20","Low",1,"Right",20,25.951,10.7627,7.4007,8.65937741458928,9.56363379554079,-2.16293379554079
"154",1,"NH4","LOW3 RR20","Low",3,"Right",20,28.895,11.6957,2.448,2.18488617868105,3.08914255963256,-0.641142559632565
"155",1,"NH4","LOW3 RR6","Low",3,"Right",6,68.167,24.142,4.7132,4.90067388341203,5.80493026436354,-1.09173026436354
"156",1,"NH4","LOW1 RR1","Low",1,"Right",1,64.776,23.0673,6.7771,7.27363025870677,8.17788663965828,-1.40078663965828
"157",1,"NH4","LOW1 RR10","Low",1,"Right",10,43.809,16.4223,8.9146,10.0489279374184,10.9531843183699,-2.03858431836994
"158",1,"NH4","LOW1 RR3","Low",1,"Right",3,42.077,15.8734,8.5298,9.62198357965737,10.5262399606089,-1.99643996060888
"159",1,"NH4","LOW1 RR6","Low",1,"Right",6,86.539,29.9646,6.4583,6.80482686781513,7.70908324876664,-1.25078324876664
"160",1,"NH4","LOW2 RR10","Low",2,"Right",10,28.514,11.5749,5.1609,5.6817450517931,6.58600143274461,-1.42510143274461
"161",1,"NH4","LOW2 RR20","Low",2,"Right",20,78.587,27.4444,9.5238,10.2770718550961,11.1813282360476,-1.65752823604763
"162",1,"NH4","LOW3 RR1","Low",3,"Right",1,89.171,30.7987,3.5812,3.60478414565117,4.50904052660268,-0.92784052660268
"163",1,"NH4","LOW3 RR3","Low",3,"Right",3,50.233,18.4583,7.6333,8.40950933762409,9.3137657185756,-1.6804657185756
"175",2,"NH4","LOW3 RR20","Low",3,"Right",20,26.8833,10.2082,8.0419,7.85822807601297,8.46364450674803,-0.421744506748029
"176",2,"NH4","LOW2 RR1","Low",2,"Right",1,52.1843,18.2078,9.7894,9.8296547817724,10.4350712125075,-0.645671212507464
"177",2,"NH4","LOW2 RR3","Low",2,"Right",3,39.7043,14.2619,11.6779,11.9269050740473,12.5323215047824,-0.85442150478239
"178",2,"NH4","LOW2 RR6","Low",2,"Right",6,61.6073,21.1871,9.1189,9.10626585778873,9.71168228852379,-0.592782288523791
"179",2,"NH4","LOW3 RR10","Low",3,"Right",10,52.933,16.9722,3.9117,3.43805883732745,4.04347526806251,-0.131775268062509
"185",1,"NH4","MID1 RR1","Mid",1,"Right",1,49.737,18.3011,8.0351,8.89167000417097,9.79592638512248,-1.76082638512248
"187",2,"NH4","MID3 RR1","Mid",3,"Right",1,18.5753,7.5814,8.8415,8.75158740499409,9.35700383572916,-0.515503835729156
"188",2,"NH4","MID3 RR3","Mid",3,"Right",3,35.3113,12.873,9.0138,8.98082178426854,9.5862382150036,-0.572438215003602
"189",2,"NH4","MID1 RR6","Mid",1,"Right",6,52.3333,18.2549,7.6223,7.48528710002368,8.09070353075874,-0.46840353075874
"190",2,"NH4","MID3 RR6","Mid",3,"Right",6,27.202,8.5385,5.0515,4.30924632377532,4.91466275451038,0.136837245489619
"191",2,"NH4","MID2 RR6","Mid",2,"Right",6,37.687,11.9751,5.9735,5.55915933079659,6.16457576153165,-0.191075761531652
"197",3,"NH4","MID1 RR20","Mid",1,"Right",20,60.541,19.5888,4.8952,5.90392199476798,5.28149753676395,-0.386297536763948
"198",3,"NH4","MID1 RR10","Mid",1,"Right",10,75.33,24.3587,4.9647,5.80278812639609,5.18036366839205,-0.215663668392053
"199",3,"NH4","MID2 RR3","Mid",2,"Right",3,56.786,18.3777,4.0696,4.72135854492734,4.0989340869233,-0.029334086923301
"200",3,"NH4","MID2 RR20","Mid",2,"Right",20,66.891,21.8383,4.0756,4.62666748286776,4.00424302486373,0.071356975136271
"201",3,"NH4","MID3 RR20","Mid",3,"Right",20,221.841,72.1237,13.6605,15.0799841563098,14.4575596983058,-0.797059698305812
"202",3,"NH4","MID2 RR10","Mid",2,"Right",10,52.45,17.1518,2.901,2.95714506608312,2.33472060807908,0.566279391920918
"209",4,"NH4","MID2 RR1","Mid",2,"Right",1,144.6163,42.5933,9.9171,10.1827223154033,10.6292297402415,-0.712129740241478
"210",4,"NH4","MID1 RR3","Mid",1,"Right",3,67.9893,20.5377,11.1707,11.8730078147342,12.3195152395724,-1.1488152395724
"211",4,"NH4","MID3 RR10","Mid",3,"Right",10,36.0423,11.3424,7.6997,8.21216502562656,8.65867245046475,-0.958972450464753
"215",1,"NH4","UP3 RR3","Up",3,"Right",3,36.172,14.002,10.2199,11.8632081100319,12.7674644909834,-2.54756449098341
