"","mass.norm","Reach","Site","Distance","Bank","Sample","ID.x","Lab","NH4","NO3","Incubation","Initial.Wet","Soil.Wet.Tin","Soil.Dry.Tin","NH4Corrected","NO3Corrected","Dry_Weight","Water_Weight","GW","NH4_Conc","NO3_Conc","ID.y","Replicate","Weight","pctN","d15N","pctC","d13C","C.N","massN","massN2"
"17",129.928439066667,"Low","2",3,"Left",82,"Low2 RL 3m","141",0.41,0.28,"I",10.323,51.523,15.72,0.4,0.24,48.4193333333333,12.6163333333333,2.83782926893709,14.8709842833947,8.92259057003683,"L2-RL-3m",1,2.009,2.6834,8.5111,35.0865,-26.8004,11.2129047346964,5.3909506,26.834
"18",118.8142125,"Low","2",3,"Right",77,"Low2 RR 3m","131",0.39,0.13,"I",10.659,69.812,27.841,0.38,0.09,66.7083333333333,24.7373333333333,1.69666630733574,9.61378362686538,2.27694875373128,"L2-RR-3m",1,2.01,1.7811,9.3462,20.54,-27.2152,9.88952961753771,3.580011,17.811
"19",149.1938986,"Low","2",6,"Left",83,"Low2 RL 6m","133",0.52,0.29,"I",10.044,62.92,23.182,0.51,0.25,59.8163333333333,20.0783333333333,1.97914833568523,15.1270972839453,7.41524376663987,"L2-RL-6m",1,2.035,2.4942,7.8444,32.5135,-26.1202,11.1788195998281,5.075697,24.942
"20",30.0630197333333,"Low","2",6,"Right",78,"Low2 RR 6m","110",0.51,0.25,"I",10.433,55.369,33.12,0.5,0.21,52.2653333333333,30.0163333333333,0.741229774900332,8.3448182445142,3.50482366269596,"L2-RR-6m",1,2.011,0.5752,6.3198,5.9497,-26.6842,8.87032823080784,1.1567272,5.752
"21",130.634316166667,"Low","3",1,"Left",51,"Low3 RL 1m ","148",0.68,0.26,"I",10.313,77.722,18.076,0.67,0.22,74.6183333333333,14.9723333333333,3.98374780150055,32.3776886163615,10.6314798441784,"L3-RL-1m",1,2.003,1.7507,5.6937,23.9432,-27.4283,11.7282701592573,3.5066521,17.507
"22",104.452826733333,"Low","3",1,"Right",56,"Low3 RR 1m","118",0.75,0.32,"I",10.772,53.804,12.616,0.74,0.28,50.7003333333333,9.51233333333333,4.32995759890668,36.6150076419508,13.8543272158733,"L3-RR-1m",1,2.012,2.0602,3.9814,27.8253,-27.5153,11.582277670746,4.1451224,20.602
"23",62.538461,"Low","3",10,"Left",54,"Low3 RL 10m","176",0.13,0.06,"I",10.658,52.432,20.859,0.12,0.02,49.3283333333333,17.7553333333333,1.77822626065408,3.12804608067638,0.521341013446064,"L3-RL-10m",1,2.018,1.2678,8.834,20.487,-25.8316,13.8576988705643,2.5584204,12.678
"24",140.657543866667,"Low","3",10,"Right",59,"Low3 RR 10m","109",0.54,0.06,"I",10.042,58.033,16.815,0.53,0.02,54.9293333333333,13.7113333333333,3.00612631886031,21.1436660923717,0.797874192164969,"L3-RR-10m",1,2.042,2.5607,4.176,33.0453,-26.8844,11.0666072508419,5.2289494,25.607
"25",43.7832480833333,"Low","3",20,"Left",55,"Low3 RL 20m","98",0.39,0.11,"I",10.39,58.222,28.646,0.38,0.07,55.1183333333333,25.5423333333333,1.15792083730278,7.89229950120362,1.45384464495856,"L3-RL-20m",1,2.012,0.79435,6.3633,15.7031,-26.6519,16.9526265996498,1.5982322,7.9435
"26",138.919288666667,"Low","3",20,"Right",60,"Low3 RR 20m","85",0.28,0.11,"I",10.423,63.852,19.612,0.27,0.07,60.7483333333333,16.5083333333333,2.67985865724382,9.53239794162746,2.47136242931082,"L3-RR-20m",1,2.019,2.2868,6.2835,24.4325,-26.1116,9.16227291166514,4.6170492,22.868
"27",62.0905437333333,"Low","3",3,"Right",57,"Low3 RR 3m","95",0.58,0.18,"I",10.38,56.983,21.488,0.57,0.14,53.8793333333333,18.3843333333333,1.93071999709898,16.0935491170175,3.95280153751307,"L3-RR-3m",1,2.007,1.1524,3.3423,14.7619,-28.3019,10.98506191882,2.3128668,11.524
