"","% MDN"
"Quinn et al. Enhanced",86.6295264623955
"Quinn et al. Depleted",56.6852367688022
"Observed Max NH4",298.951768796857
"Enhanced Max NH4 End Member",28.9777601286788
"Depleted Max NH4 End Member",18.9613317883798
"Observed Mean NH4",116.573816155989
"Enhanced Mean NH4 End Member",74.3130227001195
"Depleted Mean NH4 End Member",48.626045400239
